subject_id	subject_name	DataSet	relation	object	Curator
VFB_0010028p	FB2IN-18 (L1EM:17176781)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010029f	FB2IN-3 (L1EM:18035864)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010029l	MB2IN-77 (L1EM:20443457)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025h	FFN-33 (L1EM:9798791)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010023s	FFN-26 (L1EM:7058243)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010024j	FAN-2 (L1EM:8712361)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010023u	FFN-13 (L1EM:7421507)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010022h	FBN-4 (L1EM:2966602)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025q	FFN-40 (L1EM:10617840)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027k	FFN-7 (L1EM:15510288)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010022o	FBN-24 (L1EM:4180774)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010028v	FFN-22 (L1EM:17177103)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010028w	FFN-22 (L1EM:17177115)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027w	FFN-3 (L1EM:16442113)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027e	FFN-27 (L1EM:14493841)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025z	FFN-27 (L1EM:11361875)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026x	FAN-7 (L1EM:14000746)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025i	FFN-5 (L1EM:9841469)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010028m	CN-10 (L1EM:17150791)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010028d	FB2IN-17 (L1EM:16848475)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010024q	FFN-1 (L1EM:9048462)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010024l	FBN-21 (L1EM:8792477)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025u	FFN-2 (L1EM:11011058)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025c	FBN-11 (L1EM:9423829)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026v	FB2IN-4 (L1EM:13852833)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010023y	FBN-23 (L1EM:7980369)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026w	CN-48 (L1EM:13863331)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010024g	FFN-30 (L1EM:8349454)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026e	CN-11 (L1EM:11909406)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026o	FFN-31 (L1EM:12670738)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010023n	FBN-10 (L1EM:6290724)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010022i	FFN-3 (L1EM:3814175)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026i	CN-38 (L1EM:12262910)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010028t	FFN-12 (L1EM:17176882)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010024d	CN-44 (L1EM:8078096)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010024k	FFN-38 (L1EM:8790590)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010024s	FBN-21 (L1EM:9062992)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027m	FB2IN-12 (L1EM:15623649)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010022x	FAN-4 (L1EM:4473922)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010022l	FB2IN-9 (L1EM:4114133)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010029e	FB2IN-17 (L1EM:17980792)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010023a	FBN-7 (L1EM:4617479)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010024f	FFN-19 (L1EM:8135412)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010022f	FFN-30 (L1EM:1591351)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010023b	FFN-9 (L1EM:4665627)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027s	FFN-37 (L1EM:16316916)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026b	FB2IN-1 (L1EM:11528017)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025o	FBN-28 (L1EM:10612094)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010028f	FBN-22 (L1EM:16856539)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026f	FBN-28 (L1EM:12122924)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027u	FFN-23 (L1EM:16385470)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010022z	FAN-3 (L1EM:4514494)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010029c	FFN-31 (L1EM:17847543)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027p	CN-32 (L1EM:15741865)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010028q	FFN-6 (L1EM:17176808)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010028u	FB2IN-5 (L1EM:17177005)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010029g	FB2IN-20 (L1EM:18084995)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010024e	FBN-16 (L1EM:8118947)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010028i	FFN-15 (L1EM:16978882)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027c	FB2IN-21 (L1EM:14158399)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026q	FFN-16 (L1EM:12832017)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027z	FBN-1 (L1EM:16594509)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026r	CN-7 (L1EM:13197236)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026z	FBN-16 (L1EM:14077615)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010029i	FFN-16 (L1EM:19091931)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010024a	FB2IN-5 (L1EM:8019816)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010024z	FBN-20 (L1EM:9251793)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026s	FFN-20 (L1EM:13199414)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025j	FAN-5 (L1EM:9848760)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010024b	FB2IN-14 (L1EM:8052161)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026y	FB2IN-2 (L1EM:14077179)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027x	FAN-12 (L1EM:16475849)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025t	FBN-1 (L1EM:11003660)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010029h	FFN-23 (L1EM:18098174)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027f	CN-36 (L1EM:14540633)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010022p	FBN-20 (L1EM:4190567)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010024w	FAN-10 (L1EM:9103732)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010022y	FFN-36 (L1EM:4507955)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010022w	FB2IN-3 (L1EM:4411688)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025s	CN-43 (L1EM:10809383)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026u	FBN-26 (L1EM:13743125)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010024o	FFN-32 (L1EM:8838927)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010023z	FFN-25 (L1EM:8007556)	Eschbach2020	part_of	larval nervous system	cp390
